Year,Session,Docket,Negative,Neutral,Positive,Compound
1999,525,182,0.000185,0.9994749999999999,0.00034,-0.0005605
1999,525,234,0.0036306306306306308,0.9960180180180179,0.00035135135135135135,0.0
1999,525,249,0.0,1.0,0.0,0.0
1999,525,255,0.0,0.9976805555555556,0.0023194444444444447,0.005854166666666666
1999,525,266,0.0,0.9973618090452261,0.0026381909547738697,0.004236180904522613
1999,525,299,0.0,1.0,0.0,0.0
1999,525,316,0.0006788990825688073,0.9975565749235474,0.001764525993883792,0.0025987767584097856
1999,525,366,0.0,0.9982737068965517,0.0017284482758620691,0.0049592672413793105
1999,525,432,0.0015736434108527132,0.9984263565891472,0.0,-0.003267441860465116
1999,525,449,0.0,0.9992372881355932,0.0007627118644067797,0.003428813559322034
1999,525,459,0.0,1.0,0.0,0.0
1999,525,471,0.0015958188153310103,0.9974320557491291,0.0009721254355400697,-0.0010742160278745644
1999,526,1,0.0014084507042253522,0.9985915492957748,0.0,-0.0038190140845070423
1999,526,124,0.0,1.0,0.0,0.0
1999,526,137,0.0,1.0,0.0,0.0
1999,526,160,0.0,0.9902454545454544,0.009754545454545455,0.011256363636363636
1999,526,172,0.0003138888888888889,0.9935611111111111,0.006125,0.008221666666666667
1999,526,227,0.0013796992481203006,0.9959135338345865,0.002706766917293233,0.0011616541353383456
1999,526,23,0.0,1.0,0.0,0.0
1999,526,275,0.007202898550724638,0.9927971014492754,0.0,-0.008234782608695652
1999,526,286,0.0,1.0,0.0,0.0
1999,526,295,0.013800000000000002,0.9796769230769231,0.006523076923076923,-0.01802153846153846
1999,526,314,0.000400990099009901,0.996970297029703,0.002628712871287129,0.004084158415841584
1999,526,32,0.0039180327868852454,0.9937704918032788,0.002311475409836065,0.0020573770491803278
1999,526,344,0.0,1.0,0.0,0.0
1999,526,358,0.0,0.9987248677248677,0.001275132275132275,0.0011973544973544973
1999,526,380,0.0,0.9984603174603175,0.0015396825396825397,0.0026984126984126986
1999,526,398,0.0,1.0,0.0,0.0
1999,526,40,0.0012821782178217822,0.998158415841584,0.0005594059405940595,0.0002227722772277227
1999,526,415,0.0,0.9989829059829061,0.001017094017094017,0.00044102564102564104
1999,526,434,0.0020808823529411768,0.9974007352941177,0.0005183823529411765,-0.0005805147058823531
1999,526,473,0.0,0.9966033057851239,0.003396694214876033,0.005741322314049587
1999,526,489,0.0002575757575757576,0.9980606060606061,0.0016818181818181817,0.0018981060606060606
1999,526,529,0.0,1.0,0.0,0.0
1999,526,541,0.0,0.9956260162601627,0.0043739837398373985,0.006616260162601626
1999,526,559,0.0,0.9948571428571428,0.0051428571428571435,0.010498095238095239
1999,526,574,0.002,0.9980000000000001,0.0,-0.003311278195488722
1999,526,603,0.0,0.9996492146596858,0.00035078534031413613,0.0004041884816753927
1999,526,629,0.002174242424242424,0.9968308080808079,0.000994949494949495,-0.001642929292929293
1999,526,66,0.0007232704402515723,0.9986666666666667,0.000610062893081761,0.002042138364779874
1999,526,687,0.0003539094650205761,0.992800411522634,0.006845679012345678,0.007312757201646092
1999,526,756,0.0005582191780821918,0.9958356164383564,0.0036061643835616436,0.004964041095890409
1999,526,795,0.0,1.0,0.0,0.0
1999,526,808,0.0,1.0,0.0,0.0
1999,526,813,0.003746268656716418,0.9962537313432835,0.0,-0.007861194029850745
1999,526,838,0.0,1.0,0.0,0.0
1999,526,86,0.004713235294117647,0.991639705882353,0.0036470588235294117,0.0010573529411764704
1999,526,865,0.0,1.0,0.0,0.0
1999,527,1,0.0009528985507246378,0.9952572463768117,0.0037898550724637685,0.004901449275362319
1999,527,116,0.001360655737704918,0.9961803278688524,0.0024590163934426227,0.0025479508196721307
1999,527,150,0.0022620689655172416,0.997248275862069,0.0004896551724137931,-0.0028627586206896555
1999,527,173,0.004702247191011236,0.992938202247191,0.002359550561797753,0.001287078651685393
1999,527,198,0.0,0.9970515463917528,0.002948453608247423,0.00925979381443299
1999,527,212,0.0,1.0,0.0,0.0
1999,527,229,0.0,0.9956368159203981,0.00436318407960199,0.0037631840796019905
1999,527,263,0.006392550143266475,0.9902034383954157,0.0034040114613180512,-0.006176504297994268
1999,527,308,0.0,0.9995868055555555,0.00041319444444444444,0.001395486111111111
1999,527,343,0.0,1.0,0.0,0.0
1999,527,373,0.0014382022471910113,0.998561797752809,0.0,-0.0017053370786516856
1999,527,41,0.0008657844990548204,0.997024574669187,0.002109640831758034,0.001835916824196597
1999,527,423,0.006959107806691451,0.989449814126394,0.003591078066914498,-0.007911152416356875
1999,527,465,0.0,0.993576923076923,0.006423076923076924,0.009615384615384616
1999,527,469,0.0,1.0,0.0,0.0
1999,527,471,0.00013653136531365312,0.9998634686346862,0.0,-0.001092250922509225
1999,527,516,0.0,1.0,0.0,0.0
1999,527,526,0.001497536945812808,0.9985024630541872,0.0,-0.0026714285714285716
1999,527,555,0.0017288135593220338,0.9974745762711866,0.0007966101694915253,-0.0005293785310734462
1999,527,581,0.0019161676646706587,0.9970419161676648,0.0010419161676646705,-0.0004667664670658682
1999,527,627,0.0,0.9995705329153605,0.0004294670846394985,0.0007094043887147335
1999,527,666,0.0013176895306859205,0.9938158844765342,0.004866425992779783,0.005525270758122744
1999,527,706,0.0002520064205457464,0.9967993579454255,0.0029486356340288926,0.0024359550561797753
1999,527,815,0.0014509394572025053,0.9966200417536534,0.00192901878914405,-0.00012964509394572046
1999,527,885,0.0,1.0,0.0,0.0
1999,528,18,0.0,1.0,0.0,0.0
1999,528,23,0.0,1.0,0.0,0.0
1999,528,32,0.0010680272108843536,0.9939183673469387,0.005013605442176871,0.0
1999,528,49,0.0,0.9782272727272726,0.021772727272727273,0.02017159090909091
2000,528,110,0.0,1.0,0.0,0.0
2000,528,119,0.004890322580645161,0.9923612903225807,0.0027483870967741934,0.0006451612903225805
2000,528,141,0.0,1.0,0.0,0.0
2000,528,152,0.0,1.0,0.0,0.0
2000,528,167,0.0017282321899736149,0.9954538258575197,0.0028179419525065966,0.002441424802110818
2000,528,216,0.008929577464788733,0.9870422535211267,0.004028169014084507,-0.005384507042253521
2000,528,225,0.0007171052631578948,0.9985592105263158,0.0007236842105263158,-0.0008467105263157893
2000,528,250,0.0,1.0,0.0,0.0
2000,528,259,0.0003406593406593407,0.9991941391941391,0.00046520146520146523,-0.0002571428571428573
2000,528,304,0.0,1.0,0.0,0.0
2000,528,320,0.0,0.9974575342465752,0.0025424657534246576,0.004942191780821918
2000,528,377,0.0020218579234972675,0.9961639344262295,0.0018142076502732241,0.001870218579234973
2000,528,431,0.0,1.0,0.0,0.0
2000,528,440,0.0,1.0,0.0,0.0
2000,528,458,0.0,1.0,0.0,0.0
2000,528,470,0.0017714285714285714,0.9920285714285715,0.006200000000000001,0.005779285714285714
2000,528,495,0.0007655367231638419,0.9976158192090394,0.00161864406779661,0.0009392655367231642
2000,528,549,0.0,1.0,0.0,0.0
2000,528,562,0.0,1.0,0.0,0.0
2000,528,62,0.0,0.9977758186397986,0.0022241813602015114,0.0034914357682619647
2000,529,1,0.0006368876080691642,0.995028818443804,0.004334293948126801,0.0057671469740634
2000,529,120,0.0010262626262626262,0.9948646464646465,0.0041090909090909095,0.005343838383838384
2000,529,193,0.0,0.9971111111111111,0.0028888888888888888,0.004257575757575758
2000,529,205,0.0,0.9954838709677419,0.004516129032258064,0.004735483870967742
2000,529,217,0.0006923076923076923,0.9973296703296702,0.001978021978021978,0.0061884615384615385
2000,529,244,0.0023257575757575756,0.9964696969696969,0.0012045454545454547,-0.002441666666666667
2000,529,266,0.007438356164383561,0.9925753424657534,0.0,-0.010339726027397259
2000,529,277,0.0011285714285714284,0.996454761904762,0.0024166666666666664,0.003160952380952381
2000,529,334,0.0,1.0,0.0,0.0
2000,529,344,0.0,0.9965714285714287,0.0034285714285714284,0.003392517006802721
2000,529,362,0.003554959785522788,0.9950402144772117,0.0014048257372654156,-0.004144772117962468
2000,529,420,0.0017651006711409396,0.9972013422818794,0.0010335570469798658,-0.00048255033557046957
2000,529,446,0.0,0.9978666666666668,0.0021333333333333334,0.0025144444444444446
2000,529,460,0.0,1.0,0.0,0.0
2000,529,473,0.0027580645161290325,0.99525,0.001991935483870968,-0.003995967741935485
2000,529,494,0.0,0.9994122807017544,0.0005877192982456141,0.0011228070175438596
2000,529,513,0.0020892018779342723,0.991699530516432,0.006211267605633803,0.005519483568075118
2000,529,53,0.0,1.0,0.0,0.0
2000,529,576,0.0034027777777777776,0.9948819444444447,0.0017083333333333334,-0.003310416666666667
2000,529,598,0.0014786516853932585,0.9965078651685395,0.002013483146067416,0.002784269662921348
2000,529,61,0.0027127659574468087,0.9931063829787234,0.004180851063829787,0.005765425531914893
2000,529,667,0.0,0.9988866666666667,0.0011133333333333334,0.00281
2000,529,694,0.0009946524064171124,0.9967058823529414,0.002299465240641711,0.0018331550802139032
2000,529,728,0.0,1.0,0.0,0.0
2000,529,753,0.0,0.9981449275362319,0.001855072463768116,0.006108695652173913
2000,529,765,0.004673913043478261,0.9869239130434779,0.00840217391304348,0.0123481884057971
2000,529,803,0.0016215384615384616,0.9949169230769231,0.0034615384615384616,0.0021901538461538464
2000,529,848,0.0,0.9990380952380953,0.000961904761904762,0.004014285714285714
2000,529,861,0.002661417322834646,0.9953674540682413,0.0019711286089238843,-0.00024094488188976406
2000,529,89,0.0014234693877551022,0.9985765306122449,0.0,-0.002432142857142857
2000,530,1,0.0,0.9984949494949494,0.001505050505050505,0.004257575757575758
2000,530,103,0.004463414634146342,0.9942682926829269,0.0012682926829268293,-0.002422764227642277
2000,530,120,0.005171874999999999,0.9895625,0.005265625,-0.007600000000000001
2000,530,133,0.0,0.9945054945054945,0.005494505494505495,0.0028939560439560437
2000,530,15,0.003632911392405063,0.9945822784810127,0.0017848101265822783,-0.00368860759493671
2000,530,156,0.0016129032258064516,0.9945483870967741,0.003838709677419355,0.0031965260545905702
2000,530,211,0.0,1.0,0.0,0.0
2000,530,238,0.00048305084745762714,0.9986186440677967,0.0008983050847457627,0.00020338983050847452
2000,530,255,0.0,0.9952813852813852,0.004718614718614718,0.004329004329004329
2000,530,27,0.0,0.9974242424242424,0.002575757575757576,0.0027752525252525253
2000,530,290,0.0002862453531598513,0.9997137546468402,0.0,-0.0013427509293680298
2000,530,327,0.0,0.9943013698630138,0.005698630136986301,0.005773972602739726
2000,530,363,0.001010752688172043,0.998994623655914,0.0,-0.0024666666666666665
2000,530,392,0.0,0.9958341232227489,0.004165876777251185,0.006901421800947867
2000,530,428,0.0010173160173160172,0.9963982683982684,0.002584415584415584,0.004004761904761905
2000,530,466,0.0037653061224489797,0.9906972789115643,0.005537414965986395,0.0034185374149659858
2000,530,567,0.0018273092369477913,0.9952530120481927,0.0029196787148594375,0.004136947791164658
2000,530,57,0.0,0.9987565543071161,0.0012434456928838951,0.0012052434456928838
2000,530,604,0.001739495798319328,0.9957058823529412,0.0025546218487394958,-0.0021260504201680674
2000,530,640,0.0,0.9973956043956044,0.0026043956043956045,0.003966153846153847
2000,530,703,0.0007667785234899329,0.9980838926174496,0.0011493288590604025,0.00014496644295302
2000,530,793,0.0010258503401360543,0.997138775510204,0.0018353741496598642,0.0008281632653061225
2000,530,914,0.0014766839378238341,0.9966476683937823,0.0018756476683937826,0.0008476683937823831
2000,531,12,0.0,0.9947570093457944,0.005242990654205607,0.007507476635514018
2000,531,32,0.0,0.9944426229508196,0.005557377049180327,0.008015300546448088
2000,531,4,0.005024390243902439,0.9949756097560974,0.0,-0.009312195121951219
2000,531,57,0.0,1.0,0.0,0.0
2000,531,70,0.0,1.0,0.0,0.0
2000,531,79,0.0,0.9985563909774435,0.001443609022556391,0.0017015037593984962
2000,531,98,0.0,0.995634382566586,0.004365617433414044,0.0041014527845036316
2001,531,159,0.003226950354609929,0.9946170212765958,0.0021560283687943257,0.0037985815602836876
2001,531,198,0.0,0.9977435897435897,0.0022564102564102562,0.010807692307692308
2001,531,206,0.0,0.9969583333333333,0.003041666666666667,0.008781249999999999
2001,531,225,0.0,1.0,0.0,0.0
2001,531,230,0.0,0.9964413793103449,0.0035586206896551726,0.003406206896551724
2001,531,250,0.0011810344827586207,0.9982370689655172,0.000581896551724138,-0.00045344827586206877
2001,531,278,0.0,0.979481012658228,0.020518987341772155,0.029543037974683547
2001,531,288,0.0,0.9996010928961749,0.0003989071038251366,0.0017387978142076501
2001,531,316,0.0,1.0,0.0,0.0
2001,531,326,0.0,0.9924313725490197,0.007568627450980392,0.01372941176470588
2001,531,341,0.0,1.0,0.0,0.0
2001,531,356,0.0014497354497354498,0.9943253968253969,0.0015793650793650793,0.0005767195767195767
2001,531,425,0.0,0.9975730337078652,0.0024269662921348315,0.0002898876404494382
2001,531,438,0.0014496644295302014,0.9985503355704698,0.0,-0.0019865771812080536
2001,531,457,0.001617283950617284,0.9922654320987654,0.0030308641975308644,0.005557716049382717
2001,531,497,0.0,1.0,0.0,0.0
2001,531,510,0.0021551724137931034,0.9885689655172414,0.009275862068965517,0.007058045977011494
2001,531,533,0.0019898477157360406,0.9964771573604061,0.001532994923857868,-0.0038614213197969544
2001,532,1,0.0,0.9885871559633027,0.011412844036697248,0.013531192660550457
2001,532,105,0.0015040983606557376,0.9971639344262296,0.0013319672131147542,0.001135655737704918
2001,532,141,0.0,0.9963067484662577,0.003693251533742331,0.005598159509202455
2001,532,162,0.004196319018404907,0.9952453987730061,0.0005582822085889571,-0.00498159509202454
2001,532,17,0.0,0.9926,0.0074,0.01360888888888889
